ID_1,Internet_penetration,Cellphone_agreement_penetration,Cellphone_Internet_penetration
12,0.547 ,0.756 ,0.480 
3,0.516 ,0.629 ,0.458 
16,0.458 ,0.629 ,0.381 
24,0.569 ,0.862 ,0.495 
2,0.556 ,0.635 ,0.509 
45,0.652 ,0.666 ,0.596 
8,0.459 ,0.664 ,0.372 
41,0.719 ,1.339 ,0.613 
14,0.593 ,0.747 ,0.519 
39,0.604 ,0.746 ,0.535 
10,0.535 ,0.749 ,0.474 
35,0.659 ,0.800 ,0.587 
4,0.631 ,0.796 ,0.543 
19,0.691 ,0.853 ,0.600 
29,0.516 ,0.673 ,0.520 
47,0.438 ,0.753 ,0.437 
26,0.541 ,0.726 ,0.480 
38,0.538 ,0.764 ,0.452 
43,0.598 ,0.727 ,0.415 
15,0.598 ,0.816 ,0.375 
6,0.521 ,0.728 ,0.459 
9,0.656 ,0.775 ,0.533 
1,0.616 ,0.910 ,0.509 
23,0.584 ,0.770 ,0.503 
36,0.596 ,0.780 ,0.513 
22,0.681 ,0.850 ,0.588 
33,0.633 ,0.972 ,0.535 
13,0.673 ,0.791 ,0.570 
28,0.730 ,0.771 ,0.569 
44,0.683 ,0.713 ,0.611 
42,0.594 ,0.694 ,0.563 
37,0.560 ,0.680 ,0.440 
31,0.671 ,0.752 ,0.536 
11,0.636 ,0.867 ,0.545 
46,0.629 ,0.711 ,0.569 
40,0.529 ,0.720 ,0.426 
17,0.494 ,0.858 ,0.469 
5,0.573 ,0.707 ,0.543 
20,0.458 ,0.688 ,0.361 
7,0.576 ,0.854 ,0.499 
34,0.400 ,0.699 ,0.305 
27,0.522 ,0.686 ,0.513 
21,0.473 ,0.695 ,0.386 
30,0.490 ,0.693 ,0.394 
25,0.487 ,0.673 ,0.429 
18,0.497 ,0.668 ,0.440 
32,0.557 ,0.713 ,0.481 
