ID_1,NAME_1,Recognized_2021,Recognized_2020,Comparison_Recognized,Comparison_Recognized(%),Arrested_2021,Arrested_2020,Comparison_Arrested,Comparison_Arrested(%),Arrested_Headcount_2021,Arrested_Headcount_2020,Comparison_Headcount,Comparison_Headcount(%),Arrested_Rate_2021,Arrested_Rate_2020,Comparison_Rate_Point(%)
1,Aichi,37832,39897,-2065,-5.2,14937,15667,-730,-4.7,12218,12263,-45,-0.4,39.5,39.3,0.2
2,Akita,1984,2382,-398,-16.7,1486,1638,-152,-9.3,1002,1007,-5,-0.5,74.9,68.8,6.1
3,Aomori,3067,3409,-342,-10,1966,2216,-250,-11.3,1264,1416,-152,-10.7,64.1,65,-0.9
4,Chiba,32638,34685,-2047,-5.9,12359,12660,-301,-2.4,7663,7868,-205,-2.6,37.9,36.5,1.4
5,Ehime,5804,6433,-629,-9.8,3045,3113,-68,-2.2,1788,1899,-111,-5.8,52.5,48.4,4.1
6,Fukui,2714,2764,-50,-1.8,2119,1960,159,8.1,1100,1263,-163,-12.9,78.1,70.9,7.2
7,Fukuoka,26337,27627,-1290,-4.7,12970,14736,-1766,-12,9108,9433,-325,-3.4,49.2,53.3,-4.1
8,Fukushima,6627,7655,-1028,-13.4,3323,4084,-761,-18.6,2004,2114,-110,-5.2,50.1,53.4,-3.3
9,Gifu,9479,10447,-968,-9.3,5495,4629,866,18.7,3015,2932,83,2.8,58,44.3,13.7
10,Gunma,9079,9965,-886,-8.9,5121,5465,-344,-6.3,3036,3151,-115,-3.6,56.4,54.8,1.6
11,Hiroshima,11181,11726,-545,-4.6,5808,6104,-296,-4.8,4036,4206,-170,-4,51.9,52.1,-0.2
12,Hokkaido,18429,18467,-38,-0.2,10397,10035,362,3.6,7556,7077,479,6.8,56.4,54.3,2.1
13,Hyogo,30003,34246,-4243,-12.4,13710,15600,-1890,-12.1,10212,10950,-738,-6.7,45.7,45.6,0.1
14,Ibaraki,14277,16301,-2024,-12.4,5833,6182,-349,-5.6,3107,3311,-204,-6.2,40.9,37.9,3
15,Ishikawa,3409,3595,-186,-5.2,2421,2493,-72,-2.9,1397,1247,150,12,71,69.3,1.7
16,Iwate,2507,2553,-46,-1.8,1634,1521,113,7.4,1057,1064,-7,-0.7,65.2,59.6,5.6
17,Kagawa,3801,4543,-742,-16.3,2390,2653,-263,-9.9,1519,1592,-73,-4.6,62.9,58.4,4.5
18,Kagoshima,4641,5113,-472,-9.2,2498,2466,32,1.3,1618,1657,-39,-2.4,53.8,48.2,5.6
19,Kanagawa,33252,35241,-1989,-5.6,17537,17496,41,0.2,10564,11117,-553,-5,52.7,49.6,3.1
20,Kochi,2859,2719,140,5.1,1531,1523,8,0.5,929,864,65,7.5,53.6,56,-2.4
21,Kumamoto,5187,5081,106,2.1,3306,3578,-272,-7.6,2302,2173,129,5.9,63.7,70.4,-6.7
22,Kyoto,10483,11851,-1368,-11.5,4917,5201,-284,-5.5,3567,3643,-76,-2.1,46.9,43.9,3
23,Mie,7410,8560,-1150,-13.4,3421,3591,-170,-4.7,1846,1863,-17,-0.9,46.2,42,4.2
24,Miyagi,9398,10193,-795,-7.8,4402,5090,-688,-13.5,2602,2872,-270,-9.4,46.8,49.9,-3.1
