ID_1,Recognized_2021_f,Recognized_2020_f,Comparison_Recognized_f,Comparison_Recognized(%)_f,Arrested_2021_f,Arrested_2020_f,Comparison_Arrested_f,Comparison_Arrested(%)_f,Arrested_Headcount_2021_f,Arrested_Headcount_2020_f,Comparison_Headcount_f,Comparison_Headcount(%)_f,Arrested_Rate_2021_f,Arrested_Rate_2020_f,Comparison_Rate_Point(%)_f
1,42,47,-5,-10.6,35,45,-10,-22.2,30,32,-2,-6.3,83.3,95.7,-12.4
2,2,3,-1,-33.3,3,3,0,0,4,3,1,33.3,150,100,50
3,15,12,3,25,14,12,2,16.7,7,8,-1,-12.5,93.3,100,-6.7
4,27,21,6,28.6,18,19,-1,-5.3,13,18,-5,-27.8,66.7,90.5,-23.8
5,7,3,4,133.3,8,3,5,166.7,8,2,6,300,114.3,100,14.3
6,2,1,1,100,2,1,1,100,2,1,1,100,100,100,0
7,42,35,7,20,27,26,1,3.8,17,23,-6,-26.1,64.3,74.3,-10
8,13,12,1,8.3,13,12,1,8.3,9,10,-1,-10,100,100,0
9,13,8,5,62.5,5,6,-1,-16.7,4,4,0,0,38.5,75,-36.5
10,7,12,-5,-41.7,7,12,-5,-41.7,5,12,-7,-58.3,100,100,0
11,27,18,9,50,24,18,6,33.3,20,15,5,33.3,88.9,100,-11.1
12,24,24,0,0,24,23,1,4.3,21,15,6,40,100,95.8,4.2
13,37,31,6,19.4,31,29,2,6.9,23,26,-3,-11.5,83.8,93.5,-9.7
14,14,21,-7,-33.3,10,19,-9,-47.4,10,21,-11,-52.4,71.4,90.5,-19.1
15,3,10,-7,-70,3,10,-7,-70,3,7,-4,-57.1,100,100,0
16,7,14,-7,-50,6,13,-7,-53.8,5,10,-5,-50,85.7,92.9,-7.2
17,10,8,2,25,10,8,2,25,6,8,-2,-25,100,100,0
18,14,12,2,16.7,13,13,0,0,10,11,-1,-9.1,92.9,108.3,-15.4
19,27,30,-3,-10,30,24,6,25,21,20,1,5,111.1,80,31.1
20,1,8,-7,-87.5,2,7,-5,-71.4,3,3,0,0,200,87.5,112.5
21,11,16,-5,-31.3,10,18,-8,-44.4,11,12,-1,-8.3,90.9,112.5,-21.6
22,14,17,-3,-17.6,16,14,2,14.3,13,11,2,18.2,114.3,82.4,31.9
23,8,7,1,14.3,7,6,1,16.7,3,4,-1,-25,87.5,85.7,1.8
24,15,18,-3,-16.7,16,15,1,6.7,12,13,-1,-7.7,106.7,83.3,23.4
25,5,1,4,400,4,2,2,100,4,2,2,100,80,200,-120
26,9,10,-1,-10,7,9,-2,-22.2,5,7,-2,-28.6,77.8,90,-12.2
27,9,7,2,28.6,7,9,-2,-22.2,6,4,2,50,77.8,128.6,-50.8
28,5,3,2,66.7,5,4,1,25,6,4,2,50,100,133.3,-33.3
29,8,14,-6,-42.9,7,12,-5,-41.7,7,10,-3,-30,87.5,85.7,1.8
30,8,4,4,100,8,3,5,166.7,7,2,5,250,100,75,25
31,10,6,4,66.7,10,6,4,66.7,10,4,6,150,100,100,0
32,6,15,-9,-60,7,13,-6,-46.2,6,10,-4,-40,116.7,86.7,30
33,130,117,13,11.1,98,79,19,24.1,73,74,-1,-1.4,75.4,67.5,7.9
34,2,7,-5,-71.4,3,7,-4,-57.1,3,4,-1,-25,150,100,50
35,43,32,11,34.4,42,36,6,16.7,36,33,3,9.1,97.7,112.5,-14.8
36,6,12,-6,-50,8,6,2,33.3,8,6,2,33.3,133.3,50,83.3
37,4,7,-3,-42.9,4,7,-3,-42.9,4,7,-3,-42.9,100,100,0
38,13,24,-11,-45.8,13,17,-4,-23.5,15,15,0,0,100,70.8,29.2
39,17,21,-4,-19,13,20,-7,-35,10,18,-8,-44.4,76.5,95.2,-18.7
40,2,3,-1,-33.3,2,2,0,0,2,2,0,0,100,66.7,33.3
41,53,70,-17,-24.3,57,66,-9,-13.6,47,58,-11,-19,107.5,94.3,13.2
42,5,3,2,66.7,5,3,2,66.7,5,2,3,150,100,100,0
43,4,9,-5,-55.6,4,9,-5,-55.6,4,7,-3,-42.9,100,100,0
44,3,2,1,50,3,3,0,0,3,3,0,0,100,150,-50
45,9,17,-8,-47.1,9,17,-8,-47.1,1,12,-11,-91.7,100,100,0
46,12,9,3,33.3,12,9,3,33.3,11,4,7,175,100,100,0
47,4,5,-1,-20,2,5,-3,-60,1,5,-4,-80,50,100,-50
