ID_1,Recognized_2021_k,Recognized_2020_k,Comparison_Recognized_k,Comparison_Recognized(%)_k,Arrested_2021_k,Arrested_2020_k,Comparison_Arrested_k,Comparison_Arrested(%)_k,Arrested_Headcount_2021_k,Arrested_Headcount_2020_k,Comparison_Headcount_k,Comparison_Headcount(%)_k,Arrested_Rate_2021_k,Arrested_Rate_2020_k,Comparison_Rate_Point(%)_k
12,24,36,-12,-33.3,25,34,-9,-26.5,21,32,-11,-34.4,104.2,94.4,9.8
3,6,4,2,50,6,4,2,50,2,4,-2,-50,100,100,0
16,6,5,1,20,6,6,0,0,4,5,-1,-20,100,120,-20
24,12,19,-7,-36.8,15,19,-4,-21.1,13,17,-4,-23.5,125,100,25
2,7,2,5,250,7,2,5,250,7,4,3,75,100,100,0
45,3,4,-1,-25,2,4,-2,-50,3,2,1,50,66.7,100,-33.3
8,9,8,1,12.5,8,8,0,0,7,7,0,0,88.9,100,-11.1
41,83,105,-22,-21,86,103,-17,-16.5,78,99,-21,-21.2,103.6,98.1,5.5
14,24,22,2,9.1,24,23,1,4.3,20,19,1,5.3,100,104.5,-4.5
39,13,11,2,18.2,14,11,3,27.3,9,9,0,0,107.7,100,7.7
10,11,12,-1,-8.3,10,11,-1,-9.1,11,9,2,22.2,90.9,91.7,-0.8
35,69,76,-7,-9.2,74,71,3,4.2,85,67,18,26.9,107.2,93.4,13.8
4,49,53,-4,-7.5,53,51,2,3.9,54,47,7,14.9,108.2,96.2,12
19,50,58,-8,-13.8,56,55,1,1.8,59,41,18,43.9,112,94.8,17.2
29,7,14,-7,-50,9,13,-4,-30.8,8,8,0,0,128.6,92.9,35.7
47,4,7,-3,-42.9,3,7,-4,-57.1,3,5,-2,-40,75,100,-25
26,3,9,-6,-66.7,2,8,-6,-75,2,8,-6,-75,66.7,88.9,-22.2
38,30,26,4,15.4,30,27,3,11.1,26,31,-5,-16.1,100,103.8,-3.8
43,6,8,-2,-25,6,9,-3,-33.3,15,9,6,66.7,100,112.5,-12.5
15,4,7,-3,-42.9,4,7,-3,-42.9,4,4,0,0,100,100,0
6,3,1,2,200,4,1,3,300,3,1,2,200,133.3,100,33.3
9,14,11,3,27.3,14,12,2,16.7,12,11,1,9.1,100,109.1,-9.1
1,59,76,-17,-22.4,58,74,-16,-21.6,57,64,-7,-10.9,98.3,97.4,0.9
23,6,12,-6,-50,7,11,-4,-36.4,6,18,-12,-66.7,116.7,91.7,25
36,3,3,0,0,3,7,-4,-57.1,4,12,-8,-66.7,100,233.3,-133.3
22,14,13,1,7.7,13,13,0,0,13,11,2,18.2,92.9,100,-7.1
33,114,104,10,9.6,105,103,2,1.9,101,106,-5,-4.7,92.1,99,-6.9
13,55,47,8,17,54,44,10,22.7,46,54,-8,-14.8,98.2,93.6,4.6
28,7,13,-6,-46.2,7,14,-7,-50,6,11,-5,-45.5,100,107.7,-7.7
44,8,11,-3,-27.3,8,11,-3,-27.3,7,11,-4,-36.4,100,100,0
42,4,4,0,0,5,3,2,66.7,7,2,5,250,125,75,50
37,4,1,3,300,4,2,2,100,3,1,2,200,100,200,-100
31,13,20,-7,-35,13,21,-8,-38.1,12,20,-8,-40,100,105,-5
11,26,17,9,52.9,28,18,10,55.6,25,18,7,38.9,107.7,105.9,1.8
46,4,4,0,0,4,4,0,0,4,4,0,0,100,100,0
40,2,2,0,0,2,2,0,0,1,2,-1,-50,100,100,0
17,6,4,2,50,6,4,2,50,5,4,1,25,100,100,0
5,4,8,-4,-50,4,7,-3,-42.9,4,6,-2,-33.3,100,87.5,12.5
20,3,5,-2,-40,4,4,0,0,4,3,1,33.3,133.3,80,53.3
7,45,35,10,28.6,41,35,6,17.1,38,43,-5,-11.6,91.1,100,-8.9
34,7,5,2,40,7,5,2,40,8,4,4,100,100,100,0
27,3,7,-4,-57.1,3,8,-5,-62.5,5,5,0,0,100,114.3,-14.3
21,10,11,-1,-9.1,10,9,1,11.1,7,10,-3,-30,100,81.8,18.2
30,11,5,6,120,11,4,7,175,12,4,8,200,100,80,20
25,7,9,-2,-22.2,6,9,-3,-33.3,10,9,1,11.1,85.7,100,-14.3
18,8,5,3,60,8,5,3,60,6,4,2,50,100,100,0
32,14,10,4,40,14,10,4,40,11,13,-2,-15.4,100,100,0
