ID_1,Population_2021,Population_2020
12,5182794 ,5224614 
3,1221324 ,1237984 
16,1196433 ,1210534 
24,2290159 ,2301996 
2,944902 ,959502 
45,1054890 ,1068027 
8,1811940 ,1833152 
41,14010099 ,14047594 
14,2851682 ,2867009 
39,1921341 ,1933146 
10,1926522 ,1939110 
35,7340467 ,7344765 
4,6275160 ,6284480 
19,9236322 ,9237337 
29,2177047 ,2201272 
47,805353 ,809974 
26,2033182 ,2048011 
38,3607595 ,3633202 
43,1025440 ,1034814 
15,1125139 ,1132526 
6,760440 ,766863 
9,1960941 ,1978742 
1,7516604 ,7542415 
23,1755689 ,1770254 
36,1410509 ,1413610 
22,2561399 ,2578087 
33,8806114 ,8837685 
13,5432413 ,5465002 
28,1315339 ,1324473 
44,913599 ,922584 
42,548629 ,553407 
37,664887 ,671126 
31,1876265 ,1888432 
11,2779630 ,2799702 
46,1327518 ,1342059 
40,711975 ,719559 
17,942224 ,950244 
5,1320921 ,1334841 
20,684039 ,691527 
7,5123748 ,5135214 
34,805971 ,811442 
27,1296839 ,1312317 
21,1728263 ,1738301 
30,1114449 ,1123852 
25,1061240 ,1069576 
18,1576391 ,1588256 
32,1468463 ,1467480 
